Language,Full/Limited,Basic/Extended/8way,system,Total time(sec),Elapsed time(sec),Total time,Elapsed time,Total Elapsed Time,Total GPU Time
204-Tamil,Limited,basic,BNF_SEMISUP Search,263463,10123,73:11:03,2:48:43,,11:14:52
204-Tamil,Limited,basic,4way comb Ingestion,22003321,316100,6112:02:01,87:48:20,,351:13:20
204-Tamil,Limited,basic,4way comb Ingestion GPU,758132,83149,210:35:32,23:05:49,110:54:09,92:23:16
204-Tamil,Limited,basic,4way comb Search,1128841,36258,313:34:01,10:04:18,,40:17:12
204-Tamil,Limited,extended,DNN_RESCORED Ingestion,7033838,83086,1953:50:38,23:04:46,,92:19:04
204-Tamil,Limited,extended,DNN_RESCORED Ingestion GPU,109087,28923,12:13:45,1:38:51,24:43:37,6:35:24
204-Tamil,Limited,extended,DNN_RESCORED Search,80619,2130,22:23:39,0:35:30,,2:22:00
204-Tamil,Limited,extended,DNN Ingestion,5476630,48404,1521:17:10,13:26:44,,53:46:56
204-Tamil,Limited,extended,DNN Ingestion GPU,109087,28923,30:18:07,8:02:03,21:28:47,32:08:12
204-Tamil,Limited,extended,DNN Search,50231,1277,13:57:11,0:21:17,,1:25:08
204-Tamil,Limited,extended,BNF_RESCORED Ingestion,5508798,65044,1530:13:18,18:04:04,,72:16:16
204-Tamil,Limited,extended,BNF_RESCORED Ingestion GPU,419102,22510,116:25:02,6:15:10,24:19:14,25:00:40
204-Tamil,Limited,extended,BNF_RESCORED Search,67437,1583,18:43:57,0:26:23,,1:45:32
204-Tamil,Limited,extended,BNF Ingestion,5966445,74822,1657:20:45,20:47:02,,83:08:08
204-Tamil,Limited,extended,BNF Ingestion GPU,375013,23108,104:10:13,6:25:08,27:12:10,25:40:32
204-Tamil,Limited,extended,BNF Search,242424,5212,67:20:24,1:26:52,,5:47:28
204-Tamil,Limited,extended,BNF_SEMISUP Ingestion,5600002,62726,1555:33:22,17:25:26,,69:41:44
204-Tamil,Limited,extended,BNF_SEMISUP Ingestion GPU,274032,31118,76:07:12,8:38:38,26:04:04,34:34:32
204-Tamil,Limited,extended,BNF_SEMISUP Search,2965,109,0:49:25,0:01:49,,0:07:16
204-Tamil,Limited,extended,4way comb Ingestion,16886873,237524,4690:47:53,65:58:44,,263:54:56
204-Tamil,Limited,extended,4way comb Ingestion GPU,758132,83149,210:35:32,23:05:49,89:04:33,92:23:16
204-Tamil,Limited,extended,4way comb Search,409401,9290,113:43:21,2:34:50,,10:19:20
204-Tamil,Limited,8-way,8way comb Ingestion,34367618,462194,9546:33:38,128:23:14,,513:32:56
204-Tamil,,8-way,8way comb Ingestion GPU,758132,83149,210:35:32,23:05:49,151:29:03,92:23:16
204-Tamil,Limited,8-way,8way comb Search,1538242,45548,427:17:22,12:39:08,,50:36:32
204-Tamil,Limited,combined,DNN Ingestion,6382756,52467,1772:59:16,14:34:27,,58:17:48
204-Tamil,Limited,combined,DNN Ingestion GPU,109087,28923,30:18:07,8:02:03,22:36:30,32:08:12
204-Tamil,Limited,combined,DNN Search,89950,2122,24:59:10,0:35:22,,2:21:28
