Language,Full/Limited,Basic/Extended/8way,system,Total time(sec),Elapsed time(sec),Total time,Elapsed time,Total Elapsed Time,Total GPU Time
206-Zulu,Full,extended,BNF Ingestion,5208362,91611,1446:46:02,25:26:51,,101:47:24
206-Zulu,Full,extended,BNF Ingestion GPU,2530856,57935,703:00:56,16:05:35,41:32:26,64:22:20
206-Zulu,Full,extended,BNF Search,12929,266,3:35:29,0:04:26,,0:17:44
206-Zulu,Full,extended,DNN_MPE Ingestion,3343754,88045,928:49:14,24:27:25,,97:49:40
206-Zulu,Full,extended,DNN_MPE Ingestion GPU,651575,5902,180:59:35,1:38:22,26:05:47,6:33:28
206-Zulu,Full,extended,DNN_MPE Search,45161,854,12:32:41,0:14:14,,0:56:56
206-Zulu,Full,extended,4way comb Ingestion,10799146,178730,2999:45:46,49:38:50,,198:35:20
206-Zulu,Full,extended,4way comb Ingestion GPU,6084234,87713,1690:03:54,24:21:53,74:00:43,97:27:32
206-Zulu,Full,extended,4way comb Search,82606,1535,22:56:46,0:25:35,,1:42:20
206-Zulu,Full,8-way,8way comb Ingestion,20047466,294848,5568:44:26,81:54:08,,327:36:32
206-Zulu,Full,8-way,8way comb Ingestion GPU,6084234,87713,1690:03:54,24:21:53,106:16:01,97:27:32
206-Zulu,Full,8-way,8way comb Search,141897,3068,39:24:57,0:51:08,,3:24:32
102-assamese,Limited,basic,PLP Ingestion,647229,13361,179:47:09,3:42:41,,14:50:44
102-assamese,Limited,basic,PLP Search,15090,563,4:11:30,0:09:23,,0:37:32
102-assamese,Limited,basic,DNN Ingestion,310026,9789,86:07:06,2:43:09,,10:52:36
102-assamese,Limited,basic,DNN Ingestion GPU,1248431,19960,346:47:11,5:32:40,8:15:49,22:10:40
102-assamese,Limited,basic,DNN Search,12110,476,3:21:50,0:07:56,,0:31:44
102-assamese,Limited,basic,BNF Ingestion,897509,13576,249:18:29,3:46:16,,15:05:04
102-assamese,Limited,basic,BNF Ingestion GPU,131628,6663,36:33:48,1:51:03,5:37:19,7:24:12
102-assamese,Limited,basic,BNF Search,21330,621,5:55:30,0:10:21,,0:41:24
102-assamese,Limited,basic,BNF_SEMISUP Ingestion,2351754,21272,653:15:54,5:54:32,,23:38:08
102-assamese,Limited,basic,BNF_SEMISUP Ingestion GPU,3010531,46997,836:15:31,13:03:17,18:57:49,52:13:08
102-assamese,Limited,basic,BNF_SEMISUP Search,17788,509,4:56:28,0:08:29,,0:33:56
102-assamese,Limited,basic,4way comb Ingestion,4104722,51449,1140:12:02,14:17:29,,57:09:56
102-assamese,Limited,basic,4way comb Ingestion GPU,4390590,73620,1219:36:30,20:27:00,34:44:29,81:48:00
102-assamese,Limited,basic,4way comb Search,61716,1707,17:08:36,0:28:27,,1:53:48
102-assamese,Limited,extended,PLP Ingestion,722713,14844,200:45:13,4:07:24,,16:29:36
102-assamese,Limited,extended,PLP Search,13392,388,3:43:12,0:06:28,,0:25:52
102-assamese,Limited,extended,DNN Ingestion,484245,6663,134:30:45,1:51:03,,7:24:12
102-assamese,Limited,extended,DNN Ingestion GPU,1248431,19960,346:47:11,5:32:40,7:23:43,22:10:40
102-assamese,Limited,extended,DNN Search,11467,300,3:11:07,0:05:00,,0:20:00
102-assamese,Limited,extended,BNF Ingestion,1113073,15885,309:11:13,4:24:45,,17:39:00
102-assamese,Limited,extended,BNF Ingestion GPU,131628,6663,36:33:48,1:51:03,6:15:48,7:24:12
102-assamese,Limited,extended,BNF Search,19113,413,5:18:33,0:06:53,,0:27:32
102-assamese,Limited,extended,BNF_SEMISUP Ingestion,2555136,23453,709:45:36,6:30:53,,26:03:32
102-assamese,Limited,extended,BNF_SEMISUP Ingestion GPU,3010531,46997,836:15:31,13:03:17,19:34:10,52:13:08
102-assamese,Limited,extended,BNF_SEMISUP Search,16451,383,4:34:11,0:06:23,,0:25:32
102-assamese,Limited,extended,4way comb Ingestion,4344779,49841,1206:52:59,13:50:41,,55:22:44
102-assamese,Limited,extended,4way comb Ingestion GPU,4390590,73620,1219:36:30,20:27:00,34:17:41,81:48:00
102-assamese,Limited,extended,4way comb Search,57147,1271,15:52:27,0:21:11,,1:24:44
102-assamese,Limited,8way,8way comb Ingestion,5999833,72319,1666:37:13,20:05:19,,80:21:16
102-assamese,Limited,8way,8way comb Ingestion GPU,4390590,73620,1219:36:30,20:27:00,40:32:19,81:48:00
102-assamese,Limited,8way,8way comb Search,118863,2978,33:01:03,0:49:38,,3:18:32
103-Bengali,Limited,basic,PLP Ingestion,745172,16209,206:59:32,4:30:09,,18:00:36
103-Bengali,Limited,basic,PLP Search,19794,647,5:29:54,0:10:47,,0:43:08
103-Bengali,Limited,basic,DNN Ingestion,364320,11946,101:12:00,3:19:06,,13:16:24
103-Bengali,Limited,basic,DNN Ingestion GPU,1300687,20819,361:18:07,5:46:59,9:06:05,23:07:56
103-Bengali,Limited,basic,DNN Search,15054,460,4:10:54,0:07:40,,0:30:40
103-Bengali,Limited,basic,BNF Ingestion,986093,15763,273:54:53,4:22:43,,17:30:52
103-Bengali,Limited,basic,BNF Ingestion GPU,134380,7277,37:19:40,2:01:17,6:24:00,8:05:08
103-Bengali,Limited,basic,BNF Search,26644,684,7:24:04,0:11:24,,0:45:36
103-Bengali,Limited,basic,BNF_SEMISUP Ingestion,2522973,24579,700:49:33,6:49:39,,27:18:36
103-Bengali,Limited,basic,BNF_SEMISUP Ingestion GPU,3296575,51740,915:42:55,14:22:20,21:11:59,57:29:20
103-Bengali,Limited,basic,BNF_SEMISUP Search,22071,577,6:07:51,0:09:37,,0:38:28
103-Bengali,Limited,basic,4way comb Ingestion,4507276,59002,1252:01:16,16:23:22,,65:33:28
